"id","date","VV","VH","culture","soil_moisture"
1,2024-01-01,-9.25808310570666,-18.6132771881569,"blé",29.5401000627317
2,2024-01-13,-13.1293963427922,-21.56261686796,"blé",18.9476302044932
3,2024-01-25,-11.2737431773253,-18.3438347115192,"blé",23.9757076464593
4,2024-02-06,-10.7342747900779,-15.5706506016548,"blé",31.1407969600987
5,2024-02-18,-11.191463353718,-14.2096130774701,"blé",34.3955840659328
6,2024-03-01,-12.212249032183,-18.8609382632124,"blé",29.0911710390355
7,2024-03-13,-8.97695600512212,-18.5145387655379,"blé",20.8425849652849
8,2024-03-25,-12.1893180768262,-21.5263261703896,"blé",17.2495129087474
9,2024-04-06,-7.96315257224592,-17.0798052903375,"blé",17.1403016231488
10,2024-04-18,-12.1254281981048,-19.2799897519202,"blé",22.6304592366796
11,2024-01-01,-9.39026069155303,-17.0890997535176,"maïs",31.6856628668029
12,2024-01-13,-7.42670921459779,-16.5903253255424,"maïs",15.0059724145103
13,2024-01-25,-14.7777214022247,-15.9297929560602,"maïs",20.2142489235848
14,2024-02-06,-12.5575775336347,-19.2178527508144,"maïs",38.3258531836327
15,2024-02-18,-12.2666426727873,-16.9900897534041,"maïs",38.1411187152844
16,2024-03-01,-10.7280992038599,-21.4340173581467,"maïs",33.3523575251456
17,2024-03-13,-12.5685058428321,-19.568918016759,"maïs",23.326799585484
18,2024-03-25,-17.3129108418096,-19.701815188353,"maïs",27.8765832458157
19,2024-04-06,-16.880933857151,-22.8284152998933,"maïs",33.5993661580142
20,2024-04-18,-9.35977330853962,-17.9277547862155,"maïs",30.4789810010698
